SampleTime,VehicleSpeed,EngineSpeed,CalculateLoad,MAF,AtmospherePressure,CoolantTemp,IntakeAir,EngineRunTime,InitialEngineCoolantTemp,InitialIntakeAirTemp,BatteryVoltage,AccelSens.No.1Volt%,AccelSens.No.2Volt%,AccelSensorOutNo.1,AccelSensorOutNo.2,AcceleratorIdlePosition,AccelFullyClose#1(AD),AccelFullyCloseLearn#1,AccelFullyCloseLearn#2,ThrottleSensorVolt%,ThrottleSensor2Volt%,ST1,SystemGuard,OpenSideMalfunction,ThrottleIdlePosition,ThrottleRequirePosition,ThrottleSensorPosition,ThrottlePositionNo.1,ThrottlePositionNo.2,ThrottlePositionCommand,ThrottleSensOpenPos#1,ThrottleSensOpenPos#2,ThrottleSensOpen#1(AD),ThrottleMotor,ThrottleMotorCurrent,ThrottleMotorDUTY,ThrottleMotorDuty(Open),ThrottleMotorDuty(Close),ThrottleFullyCloseLearn,ETCSActuatorPower,+BMVoltage,ActuatorPowerSupply,FailSafeDrive,FailSafeDrive(MainCPU),Injector(Port),InjectionVolum(Cylinder1),FuelPump/SpeedStatus,EvapPurgeFlow,PurgeDensityLearnValue,EVAPPurgeVSV,TargetAir-FuelRatio,O2SB1S1,ShortFTB1S1,LongFTB1S1,FuelSystemStatus#1,O2FTB1S1,IGNAdvance,KnockFeedbackValue,KnockCorrectLearnValue,VVTControlStatus#1,VVTAimAngle#1,VVTChangeAngle#1,VVTOCVDuty#1,StarterSignal,PowerSteeringSignal,PowerSteer.Sig.Record,StopLightSwitch,A/CSignal,ClosedThrottlePositionSW,ElectricalLoadSignal,CheckMode,SPDTestResult,#Codes(IncludeHistory),MIL,TimeafterDTCCleared,DistancefromDTCCleared,WarmupCycleClearedDTC,OBDRequirements,NumberofEmissionDTC,TCandTE1,ACTVSV,IdleFuelCut,FCTAU,ModelCode,EngineType,CylinderNumber,TransmissionType,Destination,ModelYear,SystemIdentification
00:00.000,0.000000,753.000000,19.600000,2.930000,97.000000,75.000000,28.000000,271.000000,45.600000,28.700000,13.700000,16.000000,31.700000,0.800000,1.500000,1.000000,0.800000,20.000000,39.500000,16.000000,47.000000,0.000000,1.000000,0.000000,1.000000,0.800000,0.000000,0.800000,2.300000,0.800000,0.900000,2.000000,0.800000,1.000000,1.000000,16.000000,0.000000,13.000000,0.600000,1.000000,13.700000,1.000000,0.000000,0.000000,2.430000,0.112000,1.000000,0.000000,0.000000,0.000000,1.000000,0.440000,-1.600000,2.300000,2.000000,-1.563000,8.500000,-3.000000,18.400000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23886.000000,9359.000000,255.000000,5.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,4.000000,1.000000,0.000000,2011.000000,1.000000
00:00.282,0.000000,756.000000,19.600000,2.960000,97.000000,75.000000,28.000000,272.000000,45.600000,28.700000,13.700000,16.000000,31.700000,0.800000,1.500000,1.000000,0.800000,20.000000,39.500000,16.000000,47.000000,0.000000,1.000000,0.000000,1.000000,0.800000,0.000000,0.800000,2.300000,0.800000,0.900000,2.000000,0.800000,1.000000,1.000000,16.000000,0.000000,16.000000,0.600000,1.000000,13.700000,1.000000,0.000000,0.000000,2.430000,0.112000,1.000000,0.000000,0.000000,0.000000,1.000000,0.070000,0.000000,2.300000,2.000000,0.000000,7.500000,-3.000000,18.400000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23886.000000,9359.000000,255.000000,5.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,4.000000,1.000000,0.000000,2011.000000,1.000000
00:00.565,0.000000,759.000000,19.200000,2.920000,97.000000,75.000000,28.000000,272.000000,45.600000,28.700000,13.700000,16.000000,31.700000,0.800000,1.500000,1.000000,0.800000,20.000000,39.500000,16.000000,47.000000,0.000000,1.000000,0.000000,1.000000,0.800000,0.000000,0.800000,2.300000,0.800000,0.900000,2.000000,0.800000,1.000000,0.900000,16.000000,0.000000,12.000000,0.600000,1.000000,13.700000,1.000000,0.000000,0.000000,2.430000,0.112000,1.000000,0.000000,0.000000,0.000000,1.000000,0.070000,0.700000,2.300000,2.000000,0.781000,7.000000,-3.000000,18.400000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23886.000000,9359.000000,255.000000,5.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,4.000000,1.000000,0.000000,2011.000000,1.000000
00:00.847,0.000000,749.000000,20.000000,2.960000,97.000000,75.000000,28.000000,272.000000,45.600000,28.700000,13.700000,16.000000,31.700000,0.800000,1.500000,1.000000,0.800000,20.000000,39.500000,16.000000,47.000000,0.000000,1.000000,0.000000,1.000000,0.800000,0.000000,0.800000,2.300000,0.800000,0.900000,2.000000,0.800000,1.000000,1.000000,16.000000,0.000000,16.000000,0.600000,1.000000,13.700000,1.000000,0.000000,0.000000,2.430000,0.112000,1.000000,0.000000,0.000000,0.000000,1.000000,0.070000,1.500000,2.300000,2.000000,1.562000,7.500000,-3.000000,18.400000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23886.000000,9359.000000,255.000000,5.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,4.000000,1.000000,0.000000,2011.000000,1.000000
00:01.130,0.000000,756.000000,19.600000,2.950000,97.000000,75.000000,28.000000,272.000000,45.600000,28.700000,13.700000,16.000000,31.700000,0.800000,1.500000,1.000000,0.800000,20.000000,39.500000,16.000000,47.000000,0.000000,1.000000,0.000000,1.000000,0.800000,0.000000,0.800000,2.300000,0.800000,0.900000,2.000000,0.800000,1.000000,1.000000,16.000000,0.000000,12.000000,0.600000,1.000000,13.700000,1.000000,0.000000,0.000000,2.430000,0.112000,1.000000,0.000000,0.000000,0.000000,1.000000,0.070000,2.300000,2.300000,2.000000,2.343000,6.500000,-3.000000,18.400000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23886.000000,9359.000000,255.000000,5.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,4.000000,1.000000,0.000000,2011.000000,1.000000
00:01.413,0.000000,754.000000,19.600000,2.920000,97.000000,75.000000,28.000000,273.000000,45.600000,28.700000,13.700000,16.000000,31.700000,0.800000,1.500000,1.000000,0.800000,20.000000,39.500000,16.000000,47.000000,0.000000,1.000000,0.000000,1.000000,0.800000,0.000000,0.800000,2.300000,0.800000,0.900000,2.000000,0.800000,1.000000,1.000000,16.000000,0.000000,13.000000,0.600000,1.000000,13.700000,1.000000,0.000000,0.000000,2.560000,0.112000,1.000000,0.000000,0.000000,0.000000,1.000000,0.090000,3.100000,2.300000,2.000000,3.125000,7.000000,-3.000000,18.400000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23886.000000,9359.000000,255.000000,5.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,4.000000,1.000000,0.000000,2011.000000,1.000000
00:01.695,0.000000,757.000000,19.600000,2.950000,97.000000,75.000000,28.000000,273.000000,45.600000,28.700000,13.700000,16.000000,31.700000,0.800000,1.500000,1.000000,0.800000,20.000000,39.500000,16.000000,47.000000,0.000000,1.000000,0.000000,1.000000,0.800000,0.000000,0.800000,2.300000,0.800000,0.900000,2.000000,0.800000,1.000000,0.900000,16.000000,0.000000,14.000000,0.600000,1.000000,13.700000,1.000000,0.000000,0.000000,2.430000,0.112000,1.000000,0.000000,0.000000,0.000000,1.000000,0.110000,3.100000,2.300000,2.000000,3.125000,6.000000,-3.000000,18.400000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23886.000000,9359.000000,255.000000,5.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,4.000000,1.000000,0.000000,2011.000000,1.000000
00:01.978,0.000000,753.000000,19.600000,2.920000,97.000000,75.000000,28.000000,273.000000,45.600000,28.700000,13.700000,16.000000,31.700000,0.800000,1.500000,1.000000,0.800000,20.000000,39.500000,16.000000,47.000000,0.000000,1.000000,0.000000,1.000000,0.800000,0.000000,0.800000,2.300000,0.800000,0.900000,2.000000,0.800000,1.000000,0.900000,16.000000,0.000000,13.000000,0.600000,1.000000,13.700000,1.000000,0.000000,0.000000,2.560000,0.112000,1.000000,0.000000,0.000000,0.000000,1.000000,0.680000,2.300000,2.300000,2.000000,2.343000,6.000000,-3.000000,18.400000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23886.000000,9359.000000,255.000000,5.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,4.000000,1.000000,0.000000,2011.000000,1.000000
00:02.260,0.000000,752.000000,19.600000,2.930000,97.000000,75.000000,28.000000,273.000000,45.600000,28.700000,13.700000,16.000000,31.700000,0.800000,1.500000,1.000000,0.800000,20.000000,39.500000,16.000000,47.000000,0.000000,1.000000,0.000000,1.000000,0.800000,0.000000,0.800000,2.300000,0.800000,0.900000,2.000000,0.800000,1.000000,0.900000,16.000000,0.000000,12.000000,0.600000,1.000000,13.700000,1.000000,0.000000,0.000000,2.430000,0.112000,1.000000,0.000000,0.000000,0.000000,1.000000,0.740000,2.300000,2.300000,2.000000,2.343000,6.500000,-3.000000,18.400000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23886.000000,9359.000000,255.000000,5.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,4.000000,1.000000,0.000000,2011.000000,1.000000
00:02.543,0.000000,757.000000,19.200000,2.920000,97.000000,75.000000,28.000000,274.000000,45.600000,28.700000,13.700000,16.000000,31.700000,0.800000,1.500000,1.000000,0.800000,20.000000,39.500000,16.000000,47.000000,0.000000,1.000000,0.000000,1.000000,0.800000,0.000000,0.800000,2.300000,0.800000,0.900000,2.000000,0.800000,1.000000,1.000000,16.000000,0.000000,16.000000,0.600000,1.000000,13.700000,1.000000,0.000000,0.000000,2.430000,0.112000,1.000000,0.000000,0.000000,0.000000,1.000000,0.760000,1.500000,2.300000,2.000000,1.562000,6.500000,-3.000000,18.400000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23886.000000,9359.000000,255.000000,5.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,4.000000,1.000000,0.000000,2011.000000,1.000000
